,airbus1,airbus2,airbus3,airbus4
a,2,2,2,2
b,257,231,99.7,100
c,375,280,153,170
d,9,9,6,5
e,171400,150900,64400,80000
f,170500,150000,64000,70000
g,140000,123000,61000,55000
h,130000,113000,57000,57000
i,41100,33300,17390,18000
j,25270,20710,11780,20000
k,56330,49624,13020,900
l,88900,79666,39200,55000
m,0.521,0.531,0.613,0.613
n,0.241,0.222,0.272,0.272
o,0.316,0.322,0.295,0.295
p,0.821,0.82,0.953,0.953
