Type,A300-,A310-,A319-,A320-,A321-,A330-,A330-,A340-,A340-,A340-,A340-,A3XX-
ISA sea level.,1489,1490,1350,1440,1580,1750,1600,1856,1964,2090,2240,
ISA +20§C SL.,1489,1490,1350,1440,1580,1750,1600,1856,1964,2090,2240,
ISA 5000ft,1701,1686,1530,1645,1795,1970,1920,2094,2227,2390,,
ISA +20§C 5000ft,1701,1686,1530,1645,1795,1970,1920,2094,2227,2390,,
Speeds (kt/Mach):,,,,,,,,,,,,
V2,153,156,133,143,143,158,144,154,158,,,
Vapp,136,138,131,134,138,135,136,134,136,139,144,<150
Vno/Mmo,335/M0.82,360/M0.84,381/M0.89,350/M0.82,350/M0.82,330/M0.86,330/M0.86,330/M0.86,330/M0.86,330/M0.86,330/M0.86,
Vne/Mme,395/M0.88,420/M0.90,350/M0.82,381/M0.89,TBD/M0.89,365/M0.93,365/M0.93,365/M0.93,365/M0.93,365/M0.93,365/M0.93,
CLmax (T/O),2.44,2.45,2.58,2.56,3.1,2.21,2.51,2.6,2.61,,,
CLmax (L/D @ MLM),2.98,3.02,2.97,3,3.23,2.74,2.73,2.84,2.89,2.86,2.87,
Max. cruise :,,,,,,,,,,,,
Speed (kt),480,484,487,487,487,,500,500,500,,,507
Altitude (ft),31000,35000,33000,28000,28000,,33000,33000,33000,,,35000
Fuel consumption (kg/h),5120,4690,3160,3200,3550,,5000,7180,7300,,,
Long range cruise:,,,,,,,,,,,,
Speed (kt),456,458,446,448,450,470,465,475,475,,,
Altitude (ft),35000,37000,37000,37000,37000,39000,39000,39000,39000,,,
Fuel consumption (kg/h),4300,3730,1980,2100,2100,,4700,5400,5700,,,
Range (nm):,,,,,,,,,,,,
Max. payload,3283,3645,1355,637,1955,4210,3888,6393,6371,7050,5700,6200
Design range,4000,4300,1900,2700,2700,6370,4500,7350,7150,8500,7500,7650
Max. fuel (+ payload),4698,5076,4158,3672,2602,,7046,8834,8089,9000,7800,-
Ferry range,,,,,,,,,,9800,8800,10300
Design Parameters:,,,,,,,,,,,,
W/SCLmax,2160.21,2227.23,1726.69,1962.27,2211.48,2269.21,2150.33,2445.04,2529.97,2865.71,2857.63,
W/SCLtoST,2678.25,2702.77,2071.39,2423.85,2590.29,3146.34,2906.75,4224.13,4242.69,4144.91,3912.54,
Fuel/pax/nm (kg),0.0529,0.0529,0.0553,0.0443,0.0465,0.046,0.047,0.0502,0.0472,0.0554,0.046,
Seats x Range (seats.nm),1064000,937400,235600,405000,502200,1866410,1507500,2227050,2395250,2975000,3300000,
