Manufacturer,DOUG.,DOUG.,DOUG.,DOUG.,DOUG.,DOUG.,McDON.,McDON.,McDON.,McDON.
Type,,,,,,,/DOUG.,/DOUG.,/DOUG.,/DOUG.
Model,DC8-63,DC8-73,DC 9-10,DC 9-30,DC 9-40,DC 9-50,MD-81,MD-82,MD-83,MD-87
Turning radius (m),32.60,32.60,,19.80,20.70,23.00,22.80,22.80,22.80,20.60
No. of wheels (nose;main),2;8,2;8,2;4,2;4,2;4,2;4,2;4,2;4,2;4,2;4
Main Wheel diameter (m),,,1.024,1.024,1.024,1.024,1.130,1.130,1.130,1.130
Main Wheel width (m),,,0.358,0.358,0.358,0.358,0.508,0.508,0.508,0.508
Nacelle:,,,,,,,,,,
Length (m),6.00,4.70,5.30,5.30,5.30,5.30,6.10,6.10,6.10,6.10
Max. width (m),1.60,2.00,1.56,1.56,1.56,1.56,2.00,2.00,2.00,1.95
Spanwise location,,,-,-,-,-,-,-,-,-
,,,,,,,,,,
PERFORMANCE,,,,,,,,,,
Loadings:,,,,,,,,,,
Max. Power Load (kg/kN),469.70,410.71,323.35,395.16,375.25,394.92,370.91,365.76,376.06,342.50
Max. Wing Load (kg/mý),583.89,592.13,406.19,527.05,556.20,585.35,565.45,603.85,646.30,565.45
Thrust/Weight Ratio,0.217,0.248,0.315,0.258,0.272,0.258,0.275,0.279,0.271,0.298
Take-off (m):,,,,,,,,,,
ISA sea level,3505,3048,1615,1777,2091,2362,2195,2274,2551,1865
ISA +20§C SL.,,3139,,2000,2402,3130,2646,2612,3066,2161
ISA 5000ft,,3962,,2940,3734,3680,2804,2804,2804,2643
ISA +20§C 5000ft,,4023,,3860,3831,3570,2987,2987,2987,2987
Landing (m):,,,,,,,,,,
ISA sea level.,1801,1981,1411,1317,1457,1439,1481,1500,1585,1451
ISA +20§C SL.,,1981,,1310,1457,1439,1481,1500,1585,1451
ISA 5000ft,,2286,,1485,1655,1580,1664,1682,1783,1614
ISA +20§C 5000ft,,2286,,1485,1655,1525,1664,1682,1783,1614
Speeds (kt/Mach):,,,,,,,,,,
V2,,,127,137,151,160,148,153,153,141
Vapp,,,115,126,131,132,133,134,139,133
Vno/Mmo,352/M0.88,352/M0.88,425,425,425,425,340/M0.84,340/M0.84,340/M0.84,340/M0.84
Vne/Mme,406/M0.95,406/M0.95,350,350,350,350,395/M0.90,395/M0.90,395/M0.90,395/M0.90
CLmax (T/O),,,2.20,2.45,2.13,1.99,2.25,2.25,2.41,2.48
CLmax (L/D @ MLM),,,2.99,3.12,2.97,3.15,2.99,2.99,2.98,2.99
Max. cruise :,,,,,,,,,,
Speed (kt),,479,501,503,501,501,499,499,499,499
Altitude (ft),,35000,25000,26000,27000,27000,27000,27000,27000,27000
Fuel consumption (kg/h),,4881,,4050,3980,4525,4077,4077,4027,3924
Long range cruise:,,,,,,,,,,
Speed (kt),,,431,431,440,441,439,439,439,439
Altitude (ft),,,35000,35000,35000,35000,35000,35000,35000,35000
Fuel consumption (kg/h),,,,2100,2280,2650,2560,2560,2518,2458
Range (nm):,,,,,,,,,,
Max. payload,,4190,,1546,1423,1361,1385,1860,2369,1863
Design range,3907,,1311,1725,1685,1500,1564,2050,2502,2372
Max. fuel (+ payload),,,,1922,1790,1914,2851,2668,3147,2958
Ferry range,6686,,,,,,,,,
Design Parameters:,,,,,,,,,,
W/SCLmax,,,1332,1658,1839,1823,1857,1980,2125,1857
W/aCLtoST,,,1610,2449,2580,2691,2575,2707,2987,2378
Fuel/pax/nm (kg),0.0962,,0.0924,0.0860,0.0788,0.0739,0.0545,0.0549,0.0548,0.0718
Seats x Range (seats.nm),738423,,89148,167325,176925,183000,242420,317750,387810,270408
