Manufacturer,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,BOEING,
ISA +20§C SL.,3250,3610,3600,2682,,1920,3080,2850,3996,
ISA 5000ft,3810,,4390,,2867,2300,,,,
ISA +20§C 5000ft,,,,,,2605,,,,
Landing (m):,,,,,,,,,,
ISA sea level.,1890,1890,2130,1564,1700,1463,1524,1646,1740,
ISA +20§C SL.,1890,1890,2130,1564,1800,1463,1524,1646,1740,
ISA 5000ft,2130,2130,2410,1774,1930,1661,1725,1859,1966,
ISA +20§C 5000ft,2130,2130,2410,1774,2040,1661,1725,1859,1966,
Speeds (kt/Mach):,,,,,,,,,,
V2,169,177,185,150,163,142,163,161,173,
Vapp,141,141,153,137,142,136,140,141,145,
Vno/Mmo,375/M0.92,375/M0.92,365/M0.92,350/M0.86,350/M0.86,360/M0.86,360/M0.86,360/M0.86,360/M0.86,
Vne/Mme,445/M0.95,445/M0.96,445/M0.97,,,,,,,
CLmax (T/O),2.03,2.06,1.92,2.42,2.17,2.08,2.03,1.86,1.87,
CLmax (L/D @ MLM),2.58,2.58,2.38,2.81,2.78,2.39,2.38,2.47,2.49,
Max. cruise :,,,,,,,,,,
Speed (kt),507,507,507,513,505,488,488,489,486,
Altitude (ft),35000,35000,35000,31000,31000,39000,39000,39000,39000,
Fuel consumption (kg/h),12880,12990,11370,5039,,5015,5015,5395,5171,
Long range cruise:,,,,,,,,,,
Speed (kt),484,484,490,459,461,459,459,460,459,
Altitude (ft),35000,35000,35000,39000,39000,39000,39000,39000,39000,
Fuel consumption (kg/h),10660,10700,9950,3470,3098,3770,3770,3855,3815,
Range (nm):,,,,,,,,,,
Max. payload,4427,5930,6857,3812,2925,3150,5050,3221,3500,
Design range,5000,6500,7100,4000,,3220,6805,4020,5760,
Max. fuel (+ payload),7030,7392,8310,4265,3980,4800,6500,5354,6100,
Ferry range,,,,,,,,,,
Design Parameters:,,,,,,,,,,
W/SCLmax,2535.34,2815.89,3117.51,2185.60,2330.96,1970.87,2551.99,2192.58,2520.40,
W/aCLtoST,3859.82,4212.56,4579.90,2474.59,2778.60,2347.53,3249.92,2868.97,3123.51,
Fuel/pax/nm (kg),0.0608,0.0575,0.0500,0.0540,,0.0305,0.0512,0.0425,0.0472,
Seats x Range (seats.nm),2210000,2873000,3521600,744000,,695520,1469880,1049220,1503360,
